ranking,DIST,t_min_promedio_ponderado,poblacion_total,n_puntos
1,ORONCCOY,272.8746179851251,986.0,11.0
2,LARAMATE,270.1995455822447,2373.0,46.0
3,PUCACOLPA,267.76996242861435,2218.0,20.0
4,HUAC-HUAS,266.58182158768733,1646.0,41.0
5,OCAÑA,251.14032704126424,2278.0,47.0
6,LLAUTA,249.9231094527363,871.0,23.0
7,OTOCA,210.76591628167438,2381.0,42.0
8,CORCULLA,205.51935606060607,484.0,6.0
9,SAN JOSE DE USHUA,193.91684761904762,175.0,3.0
10,SAN PEDRO DE PALCO,193.68985168869307,1135.0,75.0
11,CAÑARIS,178.7390550859013,3667.0,20.0
12,OYOLO,175.3796974564926,1245.0,22.0
13,BELEN,172.44500000000002,272.0,1.0
14,CHALCOS,168.07361894432395,461.0,5.0
15,VILCANCHOS,167.03544592650712,2549.0,48.0
