CODCP,facilidad_mas_cercana_car,duracion_min_car,distancia_km_car,facilidad_mas_cercana_foot,duracion_min_foot,distancia_km_foot,facilidad_mas_cercana_bike,duracion_min_bike,distancia_km_bike,mismo_hospital_car_foot,ratio_foot_car,ratio_bike_car
110001,4370,92.075,119.67360000000001,4370.0,1531.995,127.21039999999999,4370.0,986.4383333333334,141.2929,True,16.638555525386913,10.71342202914291
110003,4370,69.595,79.15310000000001,4370.0,1554.1966666666667,129.1675,30057.0,968.25,155.1311,True,22.33201618890246,13.912637402112221
110042,3494,32.695,32.9022,3494.0,427.1566666666667,32.2595,3494.0,168.75333333333336,40.1716,True,13.064892695111384,5.161441606769639
110047,4370,8.875,5.7027,4370.0,101.37666666666668,8.4354,4370.0,65.585,8.4354,True,11.422723004694838,7.389859154929577
110085,3727,156.725,131.3816,3494.0,2067.445,171.84120000000001,3494.0,971.9,184.8464,False,13.191545701068753,6.201308023608231
110096,3494,162.285,126.0612,11775.0,1373.32,114.1682,11775.0,620.34,115.0154,False,8.462396401392612,3.822534430169147
110131,3727,265.1166666666667,196.28910000000002,3494.0,2875.8316666666665,239.07229999999998,3494.0,1385.2933333333335,258.5785,False,10.847419375117871,5.225221600553216
110144,3494,154.81833333333333,157.822,3494.0,1568.7516666666668,130.4521,3494.0,621.9066666666666,150.1533,True,10.132854636078847,4.017009182805654
110152,3494,31.825,44.4435,3494.0,509.14666666666665,42.3406,3494.0,170.45499999999998,42.3406,True,15.998324168630532,5.356009426551453
110168,4370,79.78833333333334,76.774,4370.0,1525.2133333333334,126.7596,30057.0,958.7016666666666,152.7519,True,19.11574373864182,12.015562007812335
110184,3727,158.20333333333335,208.53879999999998,3494.0,1893.0733333333333,157.444,3494.0,648.5933333333334,157.60389999999998,False,11.966077410926864,4.099745053833674
110190,4370,18.31833333333333,22.4331,4370.0,366.77000000000004,30.4632,30057.0,169.895,41.8753,True,20.022018014739338,9.274588299517788
110210,3494,164.75666666666666,165.4448,3494.0,1621.0583333333334,134.8063,3494.0,671.4016666666666,157.817,True,9.839106156554111,4.075110769417525
110213,3494,15.75,10.834700000000002,3494.0,115.705,9.6172,3494.0,84.75666666666666,9.6172,True,7.346349206349206,5.381375661375661
110248,3494,168.63,168.0156,3494.0,1936.1916666666666,161.00029999999998,3494.0,662.0400000000001,161.36610000000002,True,11.48189329696179,3.925991816402776
110250,8269,7.958333333333333,8.0946,6352.0,125.46333333333334,10.4342,6352.0,65.305,11.56,False,15.765026178010473,8.205863874345551
110257,3727,78.325,56.9453,3494.0,2211.805,183.8328,3494.0,868.4733333333334,196.8379,False,28.23881263964251,11.088073199276518
110272,3523,158.48333333333332,136.6105,3523.0,1562.6850000000002,129.9517,3523.0,524.7266666666667,129.954,True,9.860248185929121,3.3109264906930282
110289,3655,13.465,11.9139,3655.0,115.365,9.591299999999999,3655.0,44.190000000000005,9.671700000000001,True,8.567768288154474,3.281841812105459
110320,4370,80.24,98.87780000000001,4370.0,1414.6433333333334,117.508,4370.0,856.31,121.5828,True,17.630151213027585,10.671859421734796
110325,4370,146.02833333333334,155.55870000000002,4370.0,1656.1233333333332,137.70870000000002,30057.0,906.0716666666667,140.748,True,11.341109602017871,6.204766198340505
110329,6732,54.79333333333333,44.2181,6732.0,509.4266666666666,42.3231,6732.0,189.24833333333333,42.3231,True,9.297238106825647,3.4538569168998663
110382,37376,59.519999999999996,40.584199999999996,11775.0,427.4,35.5206,11775.0,149.77833333333334,35.6169,False,7.180779569892473,2.516437051971326
110448,3727,286.64666666666665,303.3999,11775.0,3913.2033333333334,325.39959999999996,11775.0,2003.7333333333333,357.013,False,13.651661743842595,6.990255134079122
110487,4370,59.61,73.21539999999999,4370.0,1017.5699999999999,84.51389999999999,30057.0,684.87,110.1927,True,17.07045797684952,11.489179667840967
110515,3523,118.48,139.6233,3523.0,1534.1683333333335,127.5514,3523.0,512.58,127.55980000000001,True,12.948753657438669,4.326299797434166
110532,37376,58.425,37.5711,8154.0,427.77833333333336,35.5553,11775.0,165.63166666666666,39.6162,False,7.321837113107974,2.834945086292968
110563,3523,35.736666666666665,49.531400000000005,3523.0,1016.83,84.5365,3523.0,434.97,84.5857,True,28.453409196903277,12.171532506296057
110568,3494,259.84666666666664,205.0081,3494.0,3140.1933333333336,261.0598,3494.0,1474.9616666666666,280.5915,True,12.084793596223417,5.67627703517459
110587,8154,26.06,20.6238,35125.0,413.8366666666667,34.3995,3655.0,180.38333333333333,39.9955,False,15.88014837554362,6.9218470196981325
110612,3727,57.845,77.48689999999999,3494.0,2590.45,215.3905,3494.0,910.3583333333333,216.05079999999998,False,44.78260869565217,15.73789149162993
110638,11775,110.61,96.63889999999999,35125.0,1130.7483333333332,93.9881,35125.0,583.91,94.985,False,10.222840008438055,5.27899828225296
110642,3494,8.105,10.786299999999999,3494.0,129.69,10.786299999999999,3494.0,43.541666666666664,10.786299999999999,True,16.00123380629241,5.3721982315443135
110683,3494,93.71499999999999,102.6199,3494.0,1117.8016666666667,92.9102,3494.0,373.81,93.11810000000001,True,11.927670774867064,3.988795817105053
110689,23733,3.7150000000000003,2.4239,23733.0,29.09,2.4239,23733.0,10.036666666666667,2.4239,True,7.830417227456258,2.7016599371915655
110699,3792,29.19333333333333,26.977700000000002,3792.0,313.2433333333333,26.0362,3792.0,123.295,30.467599999999997,True,10.729961178351221,4.223395752454898
110732,3727,195.25,142.5711,3494.0,2554.6183333333333,212.367,3494.0,1240.9,230.5779,False,13.083832693128468,6.355441741357235
110759,3494,156.76833333333335,154.3861,3494.0,1762.4116666666666,146.5576,3494.0,595.4833333333333,146.7174,True,11.242140738456957,3.798492467653969
