CODCP,facilidad_mas_cercana_car,duracion_min_car,distancia_km_car,facilidad_mas_cercana_foot,duracion_min_foot,distancia_km_foot,facilidad_mas_cercana_bike,duracion_min_bike,distancia_km_bike,mismo_hospital_car_foot,ratio_foot_car,ratio_bike_car
112541,3523,149.06333333333333,121.3685,3523,1343.6883333333333,111.6541,3523,550.5766666666666,128.50039999999998,True,9.014210961783581,3.6935754377334016
127817,3523,157.03333333333333,128.6518,3523,1431.2833333333333,118.9291,3523,580.2366666666666,135.8326,True,9.114519210358734,3.694990447887921
215842,3523,155.19,126.9649,3523,1410.4016666666669,117.19330000000001,3523,573.1083333333333,134.0968,True,9.088225186330735,3.692946280902979
216114,3523,146.70166666666668,119.2444,3523,1318.9383333333333,109.59639999999999,3523,541.955,126.413,True,8.99061587575692,3.6942661410345257
232383,3523,153.27166666666665,125.2169,3523,1389.3416666666667,115.4453,3523,566.0699999999999,132.34879999999998,True,9.064569446407797,3.6932461968400334
236862,3523,152.83333333333334,124.81519999999999,3523,1387.6416666666667,115.3045,3523,565.7533333333333,132.208,True,9.079443838604144,3.701766630316248
238758,3523,154.94166666666666,126.5053,3523,1403.3083333333334,116.6048,3523,570.9333333333333,133.5083,True,9.057010702952725,3.684827623299091
243883,3523,163.79500000000002,134.75060000000002,3523,1503.37,124.9159,3523,604.7983333333334,141.8759,True,9.178363197899813,3.692410228232445
243927,3523,169.80333333333334,136.46020000000001,3523,1524.1366666666665,126.63810000000001,3523,632.8533333333332,143.5856,True,8.97589368092499,3.7269782689778364
250597,3523,164.48833333333332,134.4868,3523,1500.375,124.6647,3523,612.9366666666666,141.6121,True,9.121467581287428,3.7263230421610447
517074,3523,154.345,125.9106,3523,1397.6983333333333,116.139,3523,569.5233333333333,133.0425,True,9.055676136793114,3.689937045795674
528688,3523,161.84833333333333,132.797,3523,1479.2716666666668,122.9143,3523,596.7566666666667,139.8587,True,9.139863452409148,3.6871350750187935
562825,3727,145.465,126.9675,3727,1732.2,144.0539,3727,973.8883333333334,144.4747,True,11.908019111126388,6.695001088463434
663416,3727,158.90833333333333,143.2076,3727,1511.6583333333333,125.71419999999999,3727,900.2983333333334,126.135,True,9.512769416330169,5.665519953851802
663417,3727,162.68833333333333,143.94529999999997,3727,1549.7766666666669,128.8809,3727,913.315,129.3017,True,9.526046735578253,5.613893641215822
663456,3727,171.84,154.33270000000002,3727,1456.2983333333332,121.1187,3727,889.13,121.9225,True,8.474734248913718,5.17417364990689
663477,3727,121.865,112.13889999999999,3727,1865.0416666666667,155.0884,3727,1075.425,155.6343,True,15.304161708994927,8.824724079924506
663478,3727,120.46000000000001,111.4618,3727,1868.0083333333334,155.33620000000002,3727,1078.3516666666667,155.8603,True,15.507291493718522,8.951948087885327
676124,3523,163.8,134.7544,3523,1503.415,124.91969999999999,3523,604.8133333333334,141.8797,True,9.178357753357753,3.6923890923890923
676897,3523,154.1,125.97439999999999,3523,1398.4716666666668,116.2028,3523,569.1133333333333,133.10629999999998,True,9.075091931646119,3.693142980748432
