DIST,t_min_promedio_ponderado,poblacion_total,n_puntos
ORONCCOY,272.8746179851251,986.0,11.0
LARAMATE,270.1995455822447,2373.0,46.0
PUCACOLPA,267.76996242861435,2218.0,20.0
HUAC-HUAS,266.58182158768733,1646.0,41.0
OCAÑA,251.14032704126424,2278.0,47.0
LLAUTA,249.9231094527363,871.0,23.0
OTOCA,210.76591628167438,2381.0,42.0
CORCULLA,205.51935606060607,484.0,6.0
SAN JOSE DE USHUA,193.91684761904762,175.0,3.0
SAN PEDRO DE PALCO,193.68985168869307,1135.0,75.0
CAÑARIS,178.7390550859013,3667.0,20.0
OYOLO,175.3796974564926,1245.0,22.0
BELEN,172.44500000000002,272.0,1.0
CHALCOS,168.07361894432395,461.0,5.0
VILCANCHOS,167.03544592650712,2549.0,48.0
CHIPURANA,165.46738095238092,0.0,7.0
PAICO,165.03316666666666,540.0,5.0
HUIMBAYOC,164.84066666666666,0.0,5.0
ASQUIPATA,163.81087914485167,764.0,5.0
SAN SALVADOR DE QUIJE,162.073465085639,759.0,12.0
SANTIAGO DE PAUCARAY,158.6625007582651,1099.0,9.0
CORONEL CASTAÑEDA,157.8371042679633,1851.0,18.0
CHILCAYOC,156.56545977011496,464.0,4.0
SORAS,156.35010784313727,1020.0,13.0
PAPAPLAYA,155.43583333333333,0.0,2.0
PARAS,149.79953585100117,4528.0,86.0
SANCOS,149.6394418649642,8615.0,107.0
SAN PEDRO DE LARCAY,146.1322711442786,1340.0,10.0
TOTOS,144.12499680868044,4178.0,25.0
EL PORVENIR,142.91883333333334,0.0,10.0
SANTA LUCIA,142.73982220835933,1603.0,19.0
COLTA,141.3125450980392,425.0,6.0
INCAHUASI,138.9212075526932,6832.0,37.0
LEONCIO PRADO,137.51032541450138,1347.0,33.0
APONGO,131.12826953748004,627.0,9.0
CARHUANCA,125.2925156301415,1013.0,8.0
OCROS,124.51193719806766,6210.0,33.0
AYAHUANCO,123.79411541889486,1496.0,15.0
BARRANQUITA,123.66746376811591,0.0,23.0
SACSAMARCA,122.40761464497041,1352.0,45.0
CHUNGUI,122.37223556317896,2332.0,15.0
MORCOLLA,120.52274412171508,1205.0,16.0
QUEROBAMBA,119.52198604992657,2724.0,21.0
