PROV,t_min_promedio_ponderado,poblacion_total,n_puntos
SUCRE,141.07650477214244,10233.0,105.0
HUANCA SANCOS,111.98098124727431,9172.0,179.0
PAUCAR DEL SARA SARA,105.76916583780915,15081.0,75.0
VILCAS HUAMAN,78.89131456070135,20988.0,107.0
VICTOR FAJARDO,78.28518173854351,23211.0,227.0
CANGALLO,72.78855423695948,42975.0,221.0
EL DORADO,70.52654411764708,0.0,68.0
LAMAS,56.50723140495868,0.0,121.0
SAN MARTIN,55.006306306306314,0.0,111.0
PICOTA,49.93595441595441,0.0,117.0
LUCANAS,46.84887581547365,129015.0,786.0
HUALLAGA,45.886893939393936,0.0,88.0
MOYOBAMBA,42.39664682539683,0.0,84.0
PARINACOCHAS,42.14158187831332,41122.0,286.0
BELLAVISTA,41.86860911270983,0.0,139.0
TOCACHE,38.30854166666666,0.0,88.0
RIOJA,37.602195767195774,0.0,63.0
MARISCAL CACERES,33.18970175438596,0.0,95.0
LA MAR,30.623438936862172,89170.0,215.0
FERREÑAFE,27.013249054440596,516361.0,122.0
LAMBAYEQUE,20.237367453907652,653760.0,281.0
HUANTA,13.55384299965487,182541.0,213.0
HUAMANGA,5.649767634272155,1899190.0,301.0
CHICLAYO,3.9344315018067277,6417033.0,209.0
